relation,node1,node2
"队友","character/resource/R549","character/resource/R564"
"队友","character/resource/R549","character/resource/R567"
"队友","character/resource/R549","character/resource/R568"
"队友","character/resource/R549","character/resource/R563"
"队友","character/resource/R549","character/resource/R560"
"队友","character/resource/R549","character/resource/R556"
"队友","character/resource/R549","character/resource/R562"
"所属救援队","character/resource/R549","character/resource/R550"
"现任机构","character/resource/R549","character/resource/R552"
"现任机构","character/resource/R549","character/resource/R551"
"支援地点","character/resource/R550","character/resource/R559"
"履历","character/resource/R556","character/resource/R585"
"队友","character/resource/R556","character/resource/R567"
"队友","character/resource/R556","character/resource/R564"
"队友","character/resource/R556","character/resource/R561"
"队友","character/resource/R556","character/resource/R549"
"队友","character/resource/R556","character/resource/R568"
"队友","character/resource/R556","character/resource/R560"
"队友","character/resource/R556","character/resource/R562"
"队友","character/resource/R556","character/resource/R565"
"队友","character/resource/R556","character/resource/R566"
"队友","character/resource/R556","character/resource/R563"
"所属救援队","character/resource/R556","character/resource/R550"
"现任机构","character/resource/R556","character/resource/R557"
"履历","character/resource/R560","character/resource/R582"
